cities,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,
Pune,Temperature,2000,22.26,23.03,26.55,31.12,28.9,26.08,24.46,24.52,25.15,25.38,23.52,21.52,
Pune,Temperature,2001,22.65,24.68,26.69,30.79,29.87,26.08,25.04,24.15,25.39,23.55,22.15,21.67,
Pune,Temperature,2002,20.64,25.35,28.32,31.41,30.83,26.94,25.63,24.38,24.93,25.65,24.14,22.66,
Pune,Temperature,2003,23.42,25.42,28.15,31.26,30.9,27.13,25.35,24.65,24.8,25.14,24.51,22.41,
Pune,Temperature,2004,21.96,24.57,29.26,30.39,29.05,26.13,25.06,23.93,24.48,22.78,22.08,20.5,
Pune,Temperature,2005,21.87,24.3,27.46,29.33,30.11,27.61,24.64,24.03,24.1,22.58,19.2,18.94,
Pune,Temperature,2006,20.51,25.02,27.13,30.09,30.27,26.54,24.18,23.37,24.41,23.66,21.51,19.88,
Pune,Temperature,2007,21.34,23.75,27.99,31.22,30.69,27.22,25.06,24.4,24.24,22.73,21.55,21.54,
Pune,Temperature,2008,21.13,23.25,27.85,30.58,29.82,26.11,25.33,24.34,23.97,23.02,22.05,21.43,
Pune,Temperature,2009,22.96,25.57,28.63,31.31,30.73,27.38,25.1,24.91,25.08,23.5,21.57,20.37,
Pune,Temperature,2010,21.06,24.67,29.09,31.46,31.71,26.69,24.9,24.42,24.42,23.73,23.2,19.09,
Pune,Temperature,2011,20.15,23.48,28.33,30.08,30.15,26.07,24.87,24.51,23.96,23.71,21.76,21.08,
Pune,Temperature,2012,20.73,24.43,27.15,30.68,30.42,27.37,25.53,24.87,24.61,24.14,22.91,22.78,
Pune,Temperature,2013,22.74,25.31,28.05,30.17,30.97,25.6,24.14,24.01,24.44,23.94,22.18,20.07,
Pune,Temperature,2014,22.12,23.12,26.94,30.83,31.35,29.34,25.8,24.76,24.08,23.95,22.01,19.81,
Pune,Temperature,2015,20.4,24,26.34,29.87,30.36,26.73,25.68,25.62,25.37,25.71,23.95,22.33,
Pune,Temperature,2016,21.88,25.53,28.87,31.37,31.26,27.51,24.65,24.16,23.66,22.42,19.93,20.51,
Pune,Temperature,2017,21.27,25.17,27.58,30.47,31.6,26.93,25.06,24.36,24.95,23.72,20.53,19.94,
Pune,Temperature,2018,20.68,24.51,28.34,31.18,31.63,26.77,24.77,24.15,24.58,25.94,24.43,21.31,
Pune,Temperature,2019,20.98,24.39,27.89,31.52,31.19,28.55,25.23,24.37,24.29,23.63,21.84,21.14,
Pune,Temperature,2020,19.92,23.37,26.78,31.58,31.67,26.02,25.07,24.37,24.6,24.07,21.69,19.94,
Pune,Temperature,2021,22.17,22.88,28.58,30.53,28.79,25.98,25.03,24.48,24.3,23.86,22.79,20,
Pune,Temperature,2022,19.53,23.1,29.01,31.46,30.44,27.37,24.45,24.16,24.06,22.62,20.15,21.12,
Pune,Humidity,2000,44.88,53.62,35,45.25,67.12,84.12,88.19,88.25,85.44,74.44,60.5,53.62,
Pune,Humidity,2001,48.88,33.75,47.56,38.81,60.56,81.5,86.81,90.19,87.06,81.81,68.75,66.69,
Pune,Humidity,2002,54.31,44.12,36.5,37.94,59.62,79.44,84.44,88.75,86.12,69.88,54.62,56.75,
Pune,Humidity,2003,43.38,41.25,32.31,40.5,53.44,78.94,88.56,89.62,88.62,76,64.38,63.06,
Pune,Humidity,2004,51.75,35.94,26.88,47.69,64.5,83.75,87.19,91.81,88.69,80.31,71,61.69,
Pune,Humidity,2005,52.75,46.81,40.44,42.5,56.62,78.5,91.62,91.81,92.25,81.44,73.44,80.38,
Pune,Humidity,2006,52.31,37.75,45.75,46.44,59.19,82.62,91.62,92.94,90.88,82.81,81.12,66.31,
Pune,Humidity,2007,56.56,55.94,37.94,39.75,56.62,80.19,90.12,91.5,91.25,76.75,70,52.94,
Pune,Humidity,2008,48,42.62,39.38,41.38,59.19,83.56,87.44,91,90.19,77.81,71.56,36.38,
Pune,Humidity,2009,51.12,38.94,34.38,37.06,54.31,77,89.38,89.38,88.75,79.06,79.06,56.5,
Pune,Humidity,2010,62.38,53.56,42.81,42.44,56.56,84.25,90.5,91.94,89.94,85.06,85.81,47.38,
Pune,Humidity,2011,58.5,52.31,35.31,48.25,58.19,83.88,88.94,91.06,90.19,82.69,70.31,52,
Pune,Humidity,2012,56.31,37.94,29.88,41.25,56.56,74.75,86.69,88.81,88.94,80.31,69.31,58.44,
Pune,Humidity,2013,52.69,48.94,35.62,47.25,57.19,86.56,92.06,90.5,89.5,85.12,73.5,63.81,
Pune,Humidity,2014,59.56,53.44,44,39.12,51.62,69.25,85.62,90.25,88.44,77.62,70.31,67.06,
Pune,Humidity,2015,58.31,44.38,49.25,48.94,58.56,80.69,86.19,86.75,85.5,76.38,69.44,66.06,
Pune,Humidity,2016,46.56,48.06,37.94,43.5,57.25,78.56,91.69,91.88,91.5,80.75,64.19,63.38,
Pune,Humidity,2017,50.75,39.25,37.75,40.44,53.94,82.5,90.56,90.94,89.62,80.19,71.94,70.56,
Pune,Humidity,2018,56.12,45.38,39.75,39.69,53.06,83.19,91.25,91.31,86.56,69.62,60.62,73.38,
Pune,Humidity,2019,38.06,38.5,34.12,38.75,51.94,73.31,91.38,92.31,92.75,88.19,83.25,58.38,
Pune,Humidity,2020,73.5,56.56,52.69,42.88,54,84,89.88,93.5,91.81,86.56,81.19,61.38,
Pune,Humidity,2021,70.19,52.69,37.69,44.56,67.44,87.12,91.12,90.12,92.12,84.12,82.5,64.56,
Pune,Humidity,2022,71.06,56.62,40,41.12,60.62,75.62,91.81,91.94,91.44,86,78.31,62.06,
Pune,Windspeed,2001,1.61,1.95,2.86,2.45,4.49,5.48,5.6,4.53,2.34,2.3,1.87,1.63,
Pune,Windspeed,2002,2.24,1.87,2.49,2.62,4.41,4.55,5.58,4.92,2.87,2.1,1.82,1.65,
Pune,Windspeed,2003,1.75,2,2.23,2.6,4.36,4.84,4.93,4.56,3.5,1.96,1.95,1.73,
Pune,Windspeed,2004,2.02,1.77,2.23,3.14,3.75,4.94,4.57,5.62,2.27,2.02,1.86,1.9,
Pune,Windspeed,2005,1.82,2.16,2.52,2.27,3.72,4.68,5.08,4.45,3.39,1.95,1.88,1.65,
Pune,Windspeed,2006,1.87,1.82,2.27,3.01,3.91,3.8,6.02,5.26,2.18,1.94,1.7,1.76,
Pune,Windspeed,2007,1.6,2.15,2.32,2.5,4.05,4.22,4.82,4.55,2.84,1.92,1.94,1.84,
Pune,Windspeed,2008,1.98,2.08,1.84,2.56,4.56,5.09,4.9,4.2,2.76,1.77,2.07,1.62,
Pune,Windspeed,2009,1.78,1.86,2.12,2.66,3.88,4.48,5.98,3.95,2.57,2.09,2.04,1.63,
Pune,Windspeed,2010,1.72,2.19,2.48,2.77,4.12,3.8,4.81,4.06,2.69,1.95,1.8,1.8,
Pune,Windspeed,2011,1.66,1.92,2.31,2.35,3.93,5.23,4.93,4.62,3.21,1.84,2.11,1.63,
Pune,Windspeed,2012,2.05,2.02,2.23,2.73,4.45,4.83,5.29,4.99,3.5,1.77,1.57,1.8,
Pune,Windspeed,2013,1.76,2.02,2.49,3.09,4.41,4.73,5.91,4.34,2.88,2.18,1.99,1.83,
Pune,Windspeed,2014,2.1,2.41,2.17,2.22,3.18,5.03,5.68,3.7,3.11,1.77,1.84,1.82,
Pune,Windspeed,2015,1.79,2.1,2.13,2.59,3.45,4.67,5.45,3.98,2.55,1.62,2.04,1.84,
Pune,Windspeed,2016,1.73,1.97,2.18,2.89,4.05,4.52,4.66,4.66,3.25,1.8,1.7,1.75,
Pune,Windspeed,2017,1.63,1.96,2.16,2.99,3.67,4.14,5.62,3.98,2.08,1.56,1.71,1.85,
Pune,Windspeed,2018,1.48,1.57,1.98,2.45,3.53,4.39,5.73,5.41,2.63,1.78,1.63,1.9,
Pune,Windspeed,2019,1.82,2.09,2.34,2.88,3.95,4.1,4.86,4.75,3.44,1.85,1.66,1.79,
Pune,Windspeed,,1.86,1.93,2.44,2.5,3.4,3.43,3.66,4.74,2.13,1.6,1.75,1.59,
Pune,Windspeed,2021,1.41,1.78,1.7,2.18,3.17,3.98,4.84,3.53,3.46,1.67,2.03,1.64,
Pune,Windspeed,2022,1.8,1.81,2.17,2.45,4.4,3.87,4.97,4.43,2.66,2.06,1.73,1.64,
Pune,Precipitation,2000,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,
Pune,Precipitation,2001,0,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,
Pune,Precipitation,2002,0,0,0,0,0,5.27,0,5.27,0,0,0,0,
Pune,Precipitation,2003,0,0,0,0,0,5.27,5.27,0,0,0,0,0,
Pune,Precipitation,2004,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,
Pune,Precipitation,2005,0,0,0,0,0,5.27,10.55,5.27,10.55,0,0,0,
Pune,Precipitation,2006,0,0,0,0,5.27,5.27,10.55,10.55,5.27,0,0,0,
Pune,Precipitation,2007,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,
Pune,Precipitation,2008,0,0,0,0,0,5.27,5.27,5.27,5.27,0,0,0,
Pune,Precipitation,2009,0,0,0,0,0,0,5.27,5.27,5.27,5.27,5.27,0,
Pune,Precipitation,2010,0,0,0,0,0,5.27,5.27,5.27,0,5.27,0,0,
Pune,Precipitation,2011,0,0,0,0,0,5.27,5.27,5.27,5.27,5.27,0,0,
Pune,Precipitation,2012,0,0,0,0,0,0,5.27,5.27,0,5.27,0,0,
Pune,Precipitation,2013,0,0,0,0,0,5.27,5.27,0,5.27,0,0,0,
Pune,Precipitation,2014,0,0,0,0,0,0,5.27,5.27,5.27,0,0,0,
Pune,Precipitation,2015,0,0,0,0,0,5.27,0,0,5.27,0,0,0,
Pune,Precipitation,2016,0,0,0,0,0,5.27,10.55,5.27,5.27,0,0,0,
Pune,Precipitation,2017,0,0,0,0,0,5.27,5.27,5.27,5.27,5.27,0,0,
Pune,Precipitation,2018,0,0,0,0,0,5.27,5.27,5.27,0,0,0,0,
Pune,Precipitation,2019,0,0,0,0,0,5.27,10.55,5.27,10.55,5.27,0,0,
Pune,Precipitation,2020,0,0,0,0,0,10.55,5.27,10.55,5.27,5.27,0,0,
Pune,Precipitation,2021,0.51,0.19,0,0.46,4.51,5.81,8.32,3.07,5.45,2.35,0.96,1.88,
